,ReportNormId,ReportNormName
354,914,Nguyên giá 
355,915,Số dư đầu kỳ
356,916, + Mua trong kỳ
357,917, + Đầu tư XDCB hoàn thành
358,918, + Chuyển từ chi phí xây dựng CBDD
359,919, + Tăng do hợp nhất kinh doanh
360,920, + Tăng khác
361,921, + Chuyển sang BĐS đầu tư (*)
362,922, + Chuyển sang công cụ dụng cụ
363,923, + Chuyển sang chi phí chờ phân bổ
364,924, + Phân loại lại
365,925, + Thanh lý. nhượng bán (*)
366,926, + Trích lập quỹ
367,927, + Giảm khác (*)
368,928,Số dư cuối kỳ
369,929,Giá trị hao mòn luỹ kế
370,930,Số dư đầu kỳ
371,931, + Khấu hao trong kỳ
372,932, + Tăng do hợp nhất kinh doanh
373,933, + Tăng khác
374,934, + Chuyển sang BĐS đầu tư (*)
375,935, + Chuyển sang công cụ dụng cụ
376,936, + Chuyển sang chi phí chờ phân bổ
377,937, + Phân loại lại
378,938, + Thanh lý. nhượng bán (*)
379,939, + Trích lập quỹ
380,940, + Giảm khác (*)
381,941,Số dư cuối kỳ
382,942,"Tăng, giảm bất động sản đầu tư"
383,943,Nguyên giá 
384,944,Số dư đầu kỳ
385,945, + Mua trong kỳ
386,946, + Đầu tư XDCB hoàn thành
387,947, + Chuyển từ TSCĐ hữu hình
388,948, + Chuyển từ chi phí xây dựng CBDD
389,949, + Tăng do hợp nhất kinh doanh
390,950, + Tăng khác
391,951, + Phân loại lại
392,952," + Thanh lý, nhượng bán (*)"
393,953, + Trích lập quỹ
394,954, + Giảm khác (*)
395,955,Số dư cuối kỳ
396,956,Giá trị hao mòn luỹ kế
397,957,Số dư đầu kỳ
398,958, + Khấu hao trong kỳ
399,959, + Chuyển từ TSCĐ hữu hình
400,960, + Tăng khác
401,961, + Phân loại lại
402,962," + Thanh lý, nhượng bán (*)"
403,963, + Trích lập quỹ
404,964, + Giảm khác (*)
405,965,Số dư cuối kỳ
406,966,Tài sản Có khác
407,967,Các khoản phải thu
408,968,Chi phí xây dựng cơ bản dở dang
409,969,Mua sắm sửa chữa lớn TSCĐ
410,970,Các khoản phải thu nội bộ
411,971,Các khoản phải thu bên ngoài
412,972,+Trả trước cho người bán
413,973,"+Các khoản kỹ quỹ, bão lãnh, thế chấp, đặt cọc"
414,974,"+Thuế nộp thừa, được khấu trừ"
415,975,+Tạm ứng
416,976,+Phải thu từ bán chứng khoán
417,977,+Phải thu từ CTCK là công ty con
418,978,+Phải thu từ Công ty Bảo hiểm là công ty con
419,979,+Phải thu từ NHNN Việt Nam
420,980,+Cổ tức phải thu
421,981,+Phải thu khác
422,982,Các khoản lãi phí phải thu
423,983,Từ cho vay khách hàng
424,984,Từ tiền gửi và cho vay các tổ chức tín dụng khác
425,985,Từ giao dịch phái sinh
426,986,Từ các nguồn khác
427,987,Tài sản Có khác (mục con)
428,988,-Ủy thác đầu tư
429,989,-Chi phí chờ phân bổ
430,990,"-Vật liệu, công cụ lao động"
431,991,-Thanh toán
432,992,-Lợi thế thương mại
433,993,-Tài sản gán nợ chờ xử lý
434,994,+Bất động sản
435,995,+Cổ phiếu
436,996,+Khác
437,997,Tài sản khác
438,998,Lợi thế thương mại (kỳ này)
439,999,-Tổng giá trị Lợi thế thương mại (LTTM)
440,1000,-Thời gian phân bổ (năm)
441,1001,-Giá trị LTTM đã phân bổ lũy kế đầu kỳ
442,1002,-Giá trị LTTM chưa phân bổ đầu kỳ
443,1003,-Lợi thế thương mại tăng trong kỳ 
444,1004,+ Lợi thế thương mại phát sinh trong kỳ
445,1005,+Điều chỉnh do sự thay đổi giá trị của tài sản và công nợ có thể xác định được
446,1006,-Lợi thế thương mại giảm trong kỳ 
447,1007,"+LTTM giảm do thanh lý, nhượng bán một phần hoặc toàn bộ TCTD"
448,1008,+Giá trị LTTM phân bổ trong kỳ
449,1009,+Các điều chỉnh giảm khác của LTTM
450,1010,Tổng giá trị Lợi thế thương mại chưa phân bổ cuối kỳ
451,1011,Biến động chi phí XDCB dở dang
452,1012,Số dư đầu năm
453,1013,Tăng trong năm
454,1014,Chuyển sang TSCĐ hữu hình
455,1015,Chuyển sang TSCĐ vô hình
456,1016,Chuyển sang tài sản khác
457,1017,Số dư cuối năm
458,1018,Phân tích chất lượng tài sản có khác được phân loại là tài sản có rủi ro tín dụng
459,1019, + Nhóm 1: Nợ đủ tiêu chuẩn
460,1020, + Nhóm 2: Nợ cần chú ý
461,1021, + Nhóm 3: Nợ dưới tiêu chuẩn
